timestamp,actual,sarimax_loadonly_forecast
2023-12-25 11:00:00,50806.0,66888.14712034735
2023-12-25 12:00:00,48619.0,67406.08705745933
2023-12-25 13:00:00,46975.0,66090.36017161206
2023-12-25 14:00:00,46050.0,65790.95642606875
2023-12-25 15:00:00,46652.0,65907.86608644259
2023-12-25 16:00:00,49208.0,66925.07971158871
2023-12-25 17:00:00,50083.0,66133.58814477043
2023-12-25 18:00:00,49348.0,64679.382505091715
2023-12-25 19:00:00,47670.0,62316.45417918759
2023-12-25 20:00:00,45973.0,59185.79481316495
2023-12-25 21:00:00,45234.0,56265.39630478623
2023-12-25 22:00:00,42685.0,52298.25079588832
2023-12-25 23:00:00,39835.0,48286.35066503011
2023-12-26 00:00:00,37467.0,46294.68852036129
2023-12-26 01:00:00,36185.0,45744.29074981632
2023-12-26 02:00:00,36738.0,46115.069201940845
2023-12-26 03:00:00,37258.0,47568.30619307446
2023-12-26 04:00:00,38172.0,49560.987910034404
2023-12-26 05:00:00,38356.0,54370.10095575085
2023-12-26 06:00:00,39192.0,61552.6323367318
2023-12-26 07:00:00,41760.0,65901.56945090555
2023-12-26 08:00:00,45486.0,66537.9000758294
2023-12-26 09:00:00,48172.0,66502.61235725372
2023-12-26 10:00:00,50303.0,66689.69479803012
2023-12-26 11:00:00,51256.0,66893.13624735428
2023-12-26 12:00:00,49617.0,67410.92589033241
2023-12-26 13:00:00,47584.0,66095.05323786213
2023-12-26 14:00:00,47057.0,65795.5081168184
2023-12-26 15:00:00,48516.0,65912.28066053479
2023-12-26 16:00:00,51119.0,66929.36129957158
2023-12-26 17:00:00,51865.0,66137.7407527621
2023-12-26 18:00:00,51237.0,64683.410018528666
2023-12-26 19:00:00,50088.0,62320.3603664601
2023-12-26 20:00:00,48037.0,59189.58332914306
2023-12-26 21:00:00,47225.0,56269.070694239446
2023-12-26 22:00:00,44723.0,52301.814496802326
2023-12-26 23:00:00,41745.0,48289.807011823556
2023-12-27 00:00:00,38850.0,46298.040747005674
2023-12-27 01:00:00,37885.0,45747.5419928619
2023-12-27 02:00:00,37809.0,46118.2225034514
2023-12-27 03:00:00,38136.0,47571.364503473604
2023-12-27 04:00:00,40257.0,49563.95409086622
2023-12-27 05:00:00,42724.0,54372.97778235729
2023-12-27 06:00:00,46309.0,61555.42250084948
2023-12-27 07:00:00,49293.0,65904.27556318435
2023-12-27 08:00:00,50877.0,66540.52466827506
2023-12-27 09:00:00,51947.0,66505.15788559701
2023-12-27 10:00:00,53153.0,66692.16364402458
2023-12-27 11:00:00,53524.0,66895.53072100467
2023-12-27 12:00:00,52498.0,67413.24823205614
2023-12-27 13:00:00,51288.0,66097.30562058554
2023-12-27 14:00:00,51035.0,65797.69264800985
2023-12-27 15:00:00,52325.0,65914.39938417656
2023-12-27 16:00:00,55396.0,66931.41619807237
2023-12-27 17:00:00,56206.0,66139.73374881184
2023-12-27 18:00:00,55013.0,64685.342976897526
2023-12-27 19:00:00,52840.0,62322.2350957433
2023-12-27 20:00:00,51130.0,59191.401583453095
2023-12-27 21:00:00,49929.0,56270.834174847325
2023-12-27 22:00:00,46980.0,52303.52485372942
2023-12-27 23:00:00,43635.0,48291.46584538541
2023-12-28 00:00:00,41790.0,46299.649609309425
